Index,Word,Length,Language
300,question,8,English 
301,care,4,English 
302,truth,5,English 
303,ground,6,English 
304,really,6,English 
305,rest,4,English 
306,mean,4,English 
307,different,9,English 
308,making,6,English 
309,possible,8,English 
310,fell,4,English 
311,towards,7,English 
312,human,5,English 
313,kept,4,English 
314,short,5,English 
315,town,4,English 
316,following,9,English 
317,need,4,English 
318,cause,5,English 
319,evening,7,English 
320,returned,8,English 
321,five,4,English 
322,strong,6,English 
323,able,4,English 
324,french,6,English 
325,live,4,English 
326,lady,4,English 
327,subject,7,English 
328,answer,6,English 
329,fear,4,English 
330,understand,10,English 
331,hard,4,English 
332,terms,5,English 
333,doubt,5,English 
334,around,6,English 
335,arms,4,English 
336,turn,4,English 
337,sense,5,English 
338,seems,5,English 
339,black,5,English 
340,bring,5,English 
341,followed,8,English 
342,beautiful,9,English 
343,close,5,English 
344,dark,4,English 
345,hold,4,English 
346,character,9,English 
347,sort,4,English 
348,sight,5,English 
349,show,4,English 
350,party,5,English 
351,fine,4,English 
352,ready,5,English 
353,story,5,English 
354,common,6,English 
355,book,4,English 
356,electronic,10,English 
357,talk,4,English 
358,account,7,English 
359,mark,4,English 
360,interest,8,English 
361,written,7,English 
362,cant,4,English 
363,necessary,9,English 
364,else,4,English 
365,force,5,English 
366,idea,4,English 
367,longer,6,English 
368,spoke,5,English 
369,across,6,English 
370,brother,7,English 
371,early,5,English 
372,ought,5,English 
373,sometimes,9,English 
374,line,4,English 
375,saying,6,English 
376,table,5,English 
377,appeared,8,English 
378,river,5,English 
379,continued,9,English 
380,information,11,English 
381,later,5,English 
382,everything,10,English 
383,reached,7,English 
384,suddenly,8,English 
385,past,4,English 
386,hours,5,English 
387,strange,7,English 
388,deep,4,English 
389,change,6,English 
390,miles,5,English 
391,feeling,7,English 
392,meet,4,English 
393,paid,4,English 
394,further,7,English 
395,purpose,7,English 
396,happy,5,English 
397,added,5,English 
398,seem,4,English 
399,taking,6,English 
400,blood,5,English 
401,rose,4,English 
402,south,5,English 
403,beyond,6,English 
404,cold,4,English 
405,neither,7,English 
406,forward,7,English 
407,view,4,English 
408,position,8,English 
409,sound,5,English 
410,none,4,English 
411,entered,7,English 
412,clear,5,English 
413,road,4,English 
414,late,4,English 
415,stand,5,English 
416,suppose,7,English 
417,daughter,8,English 
418,real,4,English 
419,nearly,6,English 
420,mine,4,English 
421,laws,4,English 
422,knowledge,9,English 
423,comes,5,English 
424,toward,6,English 
425,copy,4,English 
426,husband,7,English 
427,france,6,English 
428,living,6,English 
429,peace,5,English 
430,didnt,5,English 
431,north,5,English 
432,remember,8,English 
433,effect,6,English 
434,natural,7,English 
435,pretty,6,English 
436,fall,4,English 
437,fair,4,English 
438,service,7,English 
439,below,5,English 
440,except,6,English 
441,american,8,English 
442,hair,4,English 
443,london,6,English 
444,laid,4,English 
445,pass,4,English 
446,copyright,9,English 
447,doing,5,English 
448,army,4,English 
449,horse,5,English 
450,future,6,English 
451,opened,6,English 
452,pleasure,8,English 
453,history,7,English 
454,west,4,English 
455,hath,4,English 
456,note,4,English 
457,although,8,English 
458,wanted,6,English 
459,gold,4,English 
460,makes,5,English 
461,desire,6,English 
462,play,4,English 
463,master,6,English 
464,office,6,English 
465,tried,5,English 
466,front,5,English 
467,lived,5,English 
468,certainly,9,English 
469,wind,4,English 
470,receive,7,English 
471,attention,9,English 
472,government,10,English 
473,unto,4,English 
474,church,6,English 
475,strength,8,English 
476,length,6,English 
477,company,7,English 
478,placed,6,English 
479,paper,5,English 
480,letters,7,English 
481,probably,8,English 
482,glad,4,English 
483,important,9,English 
484,especially,10,English 
485,greater,7,English 
486,yourself,8,English 
487,fellow,6,English 
488,bear,4,English 
489,opinion,7,English 
490,window,6,English 
491,faith,5,English 
492,agreement,9,English 
493,charge,6,English 
494,beauty,6,English 
495,lips,4,English 
496,remained,8,English 
497,latter,6,English 
498,duty,4,English 
499,send,4,English 
500,distance,8,English 
501,silence,7,English 
502,foot,4,English 
503,wild,4,English 
504,object,6,English 
505,save,4,English 
506,gentleman,9,English 
507,trees,5,English 
508,green,5,English 
509,trouble,7,English 
510,smile,5,English 
511,books,5,English 
512,wrong,5,English 
513,various,7,English 
514,sleep,5,English 
515,persons,7,English 
516,blockquote,10,English 
517,happened,8,English 
518,particular,10,English 
519,drew,4,English 
520,minutes,7,English 
521,hardly,6,English 
522,walked,6,English 
523,chief,5,English 
524,chance,6,English 
525,according,9,English 
526,beginning,9,English 
527,action,6,English 
528,deal,4,English 
529,loved,5,English 
530,visit,5,English 
531,thinking,8,English 
532,follow,6,English 
533,standing,8,English 
534,knows,5,English 
535,presence,8,English 
536,heavy,5,English 
537,sweet,5,English 
538,plain,5,English 
539,donations,9,English 
540,immediately,11,English 
541,wrote,5,English 
542,mouth,5,English 
543,rich,4,English 
544,thoughts,8,English 
545,months,6,English 
546,afraid,6,English 
547,paris,5,English 
548,single,6,English 
549,enemy,5,English 
550,broken,6,English 
551,unless,6,English 
552,states,6,English 
553,ship,4,English 
554,condition,9,English 
555,carry,5,English 
556,exclaimed,9,English 
557,including,9,English 
558,filled,6,English 
559,seeing,6,English 
560,influence,9,English 
561,write,5,English 
562,boys,4,English 
563,appear,6,English 
564,outside,7,English 
565,secret,6,English 
566,parts,5,English 
567,please,6,English 
568,appearance,10,English 
569,evil,4,English 
570,march,5,English 
571,george,6,English 
572,whatever,8,English 
573,slowly,6,English 
574,tears,5,English 
575,horses,6,English 
576,places,6,English 
577,caught,6,English 
578,stay,4,English 
579,instead,7,English 
580,struck,6,English 
581,blue,4,English 
582,york,4,English 
583,impossible,10,English 
584,period,6,English 
585,sister,6,English 
586,battle,6,English 
587,school,6,English 
588,mary,4,English 
589,raised,6,English 
590,occasion,8,English 
591,married,7,English 
592,mans,4,English 
593,former,6,English 
594,food,4,English 
595,youth,5,English 
596,learned,7,English 
597,merely,6,English 
598,reach,5,English 
599,system,6,English 
600,twenty,6,English 
601,dinner,6,English 
602,quiet,5,English 
603,easily,6,English 
604,moved,5,English 
605,afterwards,10,English 
606,giving,6,English 
607,walk,4,English 
608,stopped,7,English 
609,laughed,7,English 
610,language,8,English 
611,expression,10,English 
612,week,4,English 
613,hall,4,English 
614,danger,6,English 
615,property,8,English 
616,wonder,6,English 
617,usual,5,English 
618,figure,6,English 
619,born,4,English 
620,court,5,English 
621,generally,9,English 
622,grew,4,English 
623,showed,6,English 
624,getting,7,English 
625,ancient,7,English 
626,respect,7,English 
627,third,5,English 
628,worth,5,English 
629,simple,6,English 
630,tree,4,English 
631,leaving,7,English 
632,remain,6,English 
633,society,7,English 
634,fight,5,English 
635,wall,4,English 
636,result,6,English 
637,heaven,6,English 
638,william,7,English 
639,started,7,English 
640,command,7,English 
641,tone,4,English 
642,regard,6,English 
643,expected,8,English 
644,mere,4,English 
645,month,5,English 
646,beside,6,English 
647,silent,6,English 
648,perfect,7,English 
649,experience,10,English 
650,street,6,English 
651,writing,7,English 
652,goes,4,English 
653,circumstances,13,English 
654,entirely,8,English 
655,fresh,5,English 
656,duke,4,English 
657,covered,7,English 
658,bound,5,English 
659,east,4,English 
660,wood,4,English 
661,stone,5,English 
662,quickly,7,English 
663,notice,6,English 
664,bright,6,English 
665,christ,6,English 
666,boat,4,English 
667,noble,5,English 
668,meant,5,English 
669,somewhat,8,English 
670,sudden,6,English 
671,value,5,English 
672,direction,9,English 
673,chair,5,English 
674,support,7,English 
675,date,4,English 
676,waiting,7,English 
677,christian,9,English 
678,village,7,English 
679,lives,5,English 
680,reading,7,English 
681,agree,5,English 
682,lines,5,English 
683,considered,10,English 
684,field,5,English 
685,observed,8,English 
686,scarcely,8,English 
687,wished,6,English 
688,wait,4,English 
689,greatest,8,English 
690,permission,10,English 
691,success,7,English 
692,piece,5,English 
693,british,7,English 
694,charles,7,English 
695,formed,6,English 
696,speaking,8,English 
697,trying,6,English 
698,conversation,12,English 
699,proper,6,English 
700,hill,4,English 
701,music,5,English 
702,opportunity,11,English 
703,thats,5,English 
704,german,6,English 
705,afternoon,9,English 
706,cost,4,English 
707,allowed,7,English 
708,girls,5,English 
709,considerable,12,English 
710,broke,5,English 
711,honour,6,English 
712,seven,5,English 
713,private,7,English 
714,news,4,English 
715,scene,5,English 
716,discovered,10,English 
717,marriage,8,English 
718,step,4,English 
719,garden,6,English 
720,race,4,English 
721,begin,5,English 
722,individual,10,English 
723,sitting,7,English 
724,learn,5,English 
725,political,9,English 
726,difficult,9,English 
727,speech,6,English 
728,henry,5,English 
729,cast,4,English 
730,authority,9,English 
731,floor,5,English 
732,ways,4,English 
733,officers,8,English 
734,offered,7,English 
735,original,8,English 
736,happiness,9,English 
737,flowers,7,English 
738,produced,8,English 
739,summer,6,English 
740,provide,7,English 
741,study,5,English 
742,religion,8,English 
743,picture,7,English 
744,walls,5,English 
745,personal,8,English 
746,america,7,English 
747,watch,5,English 
748,pleased,7,English 
749,leaves,6,English 
750,declared,8,English 
751,understood,10,English 
752,effort,6,English 
753,prepared,8,English 
754,escape,6,English 
755,attempt,7,English 
756,supposed,8,English 
757,killed,6,English 
758,fast,4,English 
759,author,6,English 
760,indian,6,English 
761,brown,5,English 
762,determined,10,English 
763,pain,4,English 
764,spring,6,English 
765,takes,5,English 
766,drawn,5,English 
767,soldiers,8,English 
768,houses,6,English 
769,beneath,7,English 
770,talking,7,English 
771,turning,7,English 
772,century,7,English 
773,steps,5,English 
774,intended,8,English 
775,soft,4,English 
776,straight,8,English 
777,matters,7,English 
778,likely,6,English 
779,corner,6,English 
780,trademark,9,English 
781,justice,7,English 
782,simply,6,English 
783,produce,7,English 
784,trust,5,English 
785,appears,7,English 
786,rome,4,English 
787,laugh,5,English 
788,forget,6,English 
789,europe,6,English 
790,passage,7,English 
791,eight,5,English 
792,closed,6,English 
793,ourselves,9,English 
794,gives,5,English 
795,dress,5,English 
796,passing,7,English 
797,terrible,8,English 
798,required,8,English 
799,medium,6,English 
800,efforts,7,English 
801,sake,4,English 
802,breath,6,English 
803,wise,4,English 
804,ladies,6,English 
805,possession,10,English 
806,pleasant,8,English 
807,perfectly,9,English 
808,memory,6,English 
809,usually,7,English 
810,grave,5,English 
811,fixed,5,English 
812,modern,6,English 
813,spot,4,English 
814,troops,6,English 
815,rise,4,English 
816,break,5,English 
817,fifty,5,English 
818,island,6,English 
819,meeting,7,English 
820,camp,4,English 
821,nation,6,English 
822,existence,9,English 
823,reply,5,English 
824,copies,6,English 
825,touch,5,English 
826,equal,5,English 
827,fortune,7,English 
828,shore,5,English 
829,domain,6,English 
830,named,5,English 
831,situation,9,English 
832,looks,5,English 
833,promise,7,English 
834,orders,6,English 
835,degree,6,English 
836,middle,6,English 
837,winter,6,English 
838,plan,4,English 
839,spent,5,English 
840,allow,5,English 
841,pale,4,English 
842,conduct,7,English 
843,running,7,English 
844,religious,9,English 
845,surprise,8,English 
846,minute,6,English 
847,roman,5,English 
848,cases,5,English 
849,shot,4,English 
850,lead,4,English 
851,move,4,English 
852,names,5,English 
853,stop,4,English 
854,higher,6,English 
855,threw,5,English 
856,worse,5,English 
857,built,5,English 
858,spoken,6,English 
859,glass,5,English 
860,board,5,English 
861,vain,4,English 
862,affairs,7,English 
863,instance,8,English 
864,safe,4,English 
865,loss,4,English 
866,doctor,6,English 
867,offer,5,English 
868,class,5,English 
869,complete,8,English 
870,access,6,English 
871,lower,5,English 
872,wouldnt,7,English 
873,repeated,8,English 
874,forms,5,English 
875,darkness,8,English 
876,military,8,English 
877,warm,4,English 
878,drink,5,English 
879,passion,7,English 
880,ones,4,English 
881,physical,8,English 
882,example,7,English 
883,ears,4,English 
884,questions,9,English 
885,start,5,English 
886,lying,5,English 
887,smiled,6,English 
888,keeping,7,English 
889,spite,5,English 
890,shown,5,English 
891,directly,8,English 
892,james,5,English 
893,hart,4,English 
894,serious,7,English 
895,silver,6,English 
896,sufficient,10,English 
897,main,4,English 
898,mentioned,9,English 
899,servant,7,English 
900,pride,5,English 
901,crowd,5,English 
902,train,5,English 
903,wonderful,9,English 
904,moral,5,English 
905,instant,7,English 
906,associated,10,English 
907,path,4,English 
908,greek,5,English 
909,meaning,7,English 
910,ordered,7,English 
911,proved,6,English 
912,obliged,7,English 
913,enter,5,English 
914,rule,4,English 
915,sword,5,English 
916,attack,6,English 
917,seat,4,English 
918,game,4,English 
919,health,6,English 
920,paragraph,9,English 
921,statement,9,English 
922,social,6,English 
923,refund,6,English 
924,sorry,5,English 
925,courage,7,English 
926,members,7,English 
927,grace,5,English 
928,official,8,English 
929,dream,5,English 
930,worthy,6,English 
931,rock,4,English 
932,jack,4,English 
933,provided,8,English 
934,special,7,English 
935,shook,5,English 
936,request,7,English 
937,mighty,6,English 
938,glance,6,English 
939,heads,5,English 
940,movement,8,English 
941,share,5,English 
942,expect,6,English 
943,couldnt,7,English 
944,dollars,7,English 
945,spread,6,English 
946,opposite,8,English 
947,glory,5,English 
948,twelve,6,English 
949,space,5,English 
950,engaged,7,English 
951,peter,5,English 
952,wine,4,English 
953,ordinary,8,English 
954,mountains,9,English 
955,taste,5,English 
956,iron,4,English 
957,isnt,4,English 
958,distribute,10,English 
959,trade,5,English 
960,consider,8,English 
961,greatly,7,English 
962,accepted,8,English 
963,forced,6,English 
964,advantage,9,English 
965,ideas,5,English 
966,decided,7,English 
967,using,5,English 
968,officer,7,English 
969,rate,4,English 
970,clothes,7,English 
971,sign,4,English 
972,feelings,8,English 
973,native,6,English 
974,promised,8,English 
975,judge,5,English 
976,difference,10,English 
977,working,7,English 
978,anxious,7,English 
979,marry,5,English 
980,captain,7,English 
981,finished,8,English 
982,extent,6,English 
983,watched,7,English 
984,curious,7,English 
985,foreign,7,English 
986,besides,7,English 
987,method,6,English 
988,excellent,9,English 
989,confidence,10,English 
990,marked,6,English 
991,jesus,5,English 
992,exactly,7,English 
993,importance,10,English 
994,finally,7,English 
995,bill,4,English 
996,vast,4,English 
997,prove,5,English 
998,fancy,5,English 
999,quick,5,English 
1000,sought,6,English 
1001,prevent,7,English 
1002,neck,4,English 
1003,hearts,6,English 
1004,liberty,7,English 
1005,interesting,11,English 
1006,sides,5,English 
1007,legal,5,English 
1008,gentlemen,9,English 
1009,serve,5,English 
1010,aside,5,English 
1011,pure,4,English 
1012,concerning,10,English 
1013,forgotten,9,English 
1014,lose,4,English 
1015,powers,6,English 
1016,possessed,9,English 
1017,thrown,6,English 
1018,evidence,8,English 
1019,distant,7,English 
1020,michael,7,English 
1021,progress,8,English 
1022,similar,7,English 
1023,narrow,6,English 
1024,altogether,10,English 
1025,building,8,English 
1026,page,4,English 
1027,particularly,12,English 
1028,knowing,7,English 
1029,weeks,5,English 
1030,settled,7,English 
1031,holding,7,English 
1032,mountain,8,English 
1033,search,6,English 
1034,lies,4,English 
1035,proud,5,English 
1036,pieces,6,English 
1037,clearly,7,English 
1038,price,5,English 
1039,ships,5,English 
1040,thirty,6,English 
1041,sick,4,English 
1042,honest,6,English 
1043,shut,4,English 
1044,talked,6,English 
1045,bank,4,English 
1046,fate,4,English 
1047,dropped,7,English 
1048,judgment,8,English 
1049,conditions,10,English 
1050,accept,6,English 
1051,hills,5,English 
1052,removed,7,English 
1053,forest,6,English 
1054,measure,7,English 
1055,species,7,English 
1056,seek,4,English 
1057,highest,7,English 
1058,otherwise,9,English 
1059,stream,6,English 
1060,honor,5,English 
1061,carefully,9,English 
1062,obtained,8,English 
1063,bread,5,English 
1064,bottom,6,English 
1065,additional,10,English 
1066,presented,9,English 
1067,fingers,7,English 
1068,remembered,10,English 
1069,choose,6,English 
1070,agreed,6,English 
1071,animal,6,English 
1072,events,6,English 
1073,theres,6,English 
1074,fully,5,English 
1075,delight,7,English 
1076,rights,6,English 
1077,amount,6,English 
1078,obtain,6,English 
1079,servants,8,English 
1080,sons,4,English 
1081,cross,5,English 
1082,shoulders,9,English 
1083,thick,5,English 
1084,points,6,English 
1085,stranger,8,English 
1086,woods,5,English 
1087,facts,5,English 
1088,dare,4,English 
1089,grow,4,English 
1090,creature,8,English 
1091,hung,4,English 
1092,rain,4,English 
1093,FALSE,5,English 
1094,tall,4,English 
1095,gate,4,English 
1096,nations,7,English 
1097,created,7,English 
1098,refused,7,English 
1099,quietly,7,English 
1100,surface,7,English 
1101,freely,6,English 
1102,holy,4,English 
1103,streets,7,English 
1104,blow,4,English 
1105,july,4,English 
1106,regarded,8,English 
1107,fashion,7,English 
1108,report,6,English 
1109,coast,5,English 
1110,daily,5,English 
1111,file,4,English 
1112,shoulder,8,English 
1113,surprised,9,English 
1114,faces,5,English 
1115,succeeded,9,English 
1116,birds,5,English 
1117,distribution,12,English 
1118,royal,5,English 
1119,song,4,English 
1120,wealth,6,English 
1121,comfort,7,English 
1122,failed,6,English 
1123,freedom,7,English 
1124,peculiar,8,English 
1125,anyone,6,English 
1126,advance,7,English 
1127,gentle,6,English 
1128,surely,6,English 
1129,animals,7,English 
1130,waited,6,English 
1131,secure,6,English 
1132,desired,7,English 
1133,grass,5,English 
1134,touched,7,English 
1135,occupied,8,English 
1136,draw,4,English 
1137,stage,5,English 
1138,portion,7,English 
1139,expressed,9,English 
1140,opening,7,English 
1141,june,4,English 
1142,spirits,7,English 
1143,fish,4,English 
1144,tongue,6,English 
1145,capital,7,English 
1146,angry,5,English 
1147,growing,7,English 
1148,served,6,English 
1149,carriage,8,English 
1150,weather,7,English 
1151,breast,6,English 
1152,presently,9,English 
1153,snow,4,English 
1154,david,5,English 
1155,papers,6,English 
1156,necessity,9,English 
1157,practice,8,English 
1158,claim,5,English 
1159,hast,4,English 
1160,education,9,English 
1161,sharp,5,English 
1162,prince,6,English 
1163,permitted,9,English 
1164,group,5,English 
1165,enemies,7,English 
1166,robert,6,English 
1167,played,6,English 
1168,throughout,10,English 
1169,pity,4,English 
1170,expense,7,English 
1171,yours,5,English 
1172,million,7,English 
1173,pray,4,English 
1174,taught,6,English 
1175,explained,9,English 
1176,tired,5,English 
1177,leading,7,English 
1178,kill,4,English 
1179,shadow,6,English 
1180,companion,9,English 
1181,weight,6,English 
1182,mass,4,English 
1183,established,11,English 
1184,suffered,8,English 
1185,gray,4,English 
1186,brave,5,English 
1187,thin,4,English 
1188,satisfied,9,English 
1189,check,5,English 
1190,virtue,6,English 
1191,golden,6,English 
1192,numerous,8,English 
1193,frequently,10,English 
1194,famous,6,English 
1195,telling,7,English 
1196,powerful,8,English 
1197,alive,5,English 
1198,waters,6,English 
1199,national,8,English 
1200,weak,4,English 
1201,divine,6,English 
1202,material,8,English 
1203,principal,9,English 
1204,gathered,8,English 
1205,suggested,9,English 
1206,frank,5,English 
1207,valley,6,English 
1208,guess,5,English 
1209,finding,7,English 
1210,yellow,6,English 
1211,heat,4,English 
1212,remains,7,English 
1213,bent,4,English 
1214,seized,6,English 
1215,guard,5,English 
1216,equally,7,English 
1217,naturally,9,English 
1218,remarkable,10,English 
1219,gods,4,English 
1220,moon,4,English 
1221,slight,6,English 
1222,style,5,English 
1223,pointed,7,English 
1224,saved,5,English 
1225,windows,7,English 
1226,crossed,7,English 
1227,louis,5,English 
1228,pounds,6,English 
1229,aint,4,English 
1230,evidently,9,English 
1231,principle,9,English 
1232,immediate,9,English 
1233,willing,7,English 
1234,consequence,11,English 
1235,richard,7,English 
1236,principles,10,English 
1237,characters,10,English 
1238,paul,4,English 
1239,season,6,English 
1240,remarked,8,English 
1241,science,7,English 
1242,tender,6,English 
1243,worked,6,English 
1244,grown,5,English 
1245,whispered,9,English 
1246,interested,10,English 
1247,quarter,7,English 
1248,midst,5,English 
1249,liked,5,English 
1250,advanced,8,English 
1251,apparently,10,English 
1252,bore,4,English 
1253,active,6,English 
1254,noticed,7,English 
1255,aware,5,English 
1256,thomas,6,English 
1257,uncle,5,English 
1258,list,4,English 
1259,dangerous,9,English 
1260,august,6,English 
1261,calm,4,English 
1262,genius,6,English 
1263,sacred,6,English 
1264,kingdom,7,English 
1265,entire,6,English 
1266,popular,7,English 
1267,unknown,7,English 
1268,nice,4,English 
1269,habit,5,English 
1270,spanish,7,English 
1271,familiar,8,English 
1272,reader,6,English 
1273,published,9,English 
1274,direct,6,English 
1275,handsome,8,English 
1276,youll,5,English 
1277,joined,6,English 
1278,actually,8,English 
1279,kings,5,English 
1280,posted,6,English 
1281,approach,8,English 
1282,washington,10,English 
1283,hearing,7,English 
1284,needed,6,English 
1285,increased,9,English 
1286,walking,7,English 
1287,twice,5,English 
1288,throw,5,English 
1289,intellectual,12,English 
1290,appointed,9,English 
1291,wisdom,6,English 
1292,ceased,6,English 
1293,truly,5,English 
1294,numbers,7,English 
1295,demanded,8,English 
1296,priest,6,English 
1297,wounded,7,English 
1298,sorrow,6,English 
1299,drive,5,English 
1300,fault,5,English 
1301,listened,8,English 
1302,palace,6,English 
1303,affair,6,English 
1304,contact,7,English 
1305,distinguished,13,English 
1306,station,7,English 
1307,beat,4,English 
1308,distributed,11,English 
1309,listen,6,English 
1310,italy,5,English 
1311,fool,4,English 
1312,becomes,7,English 
1313,watching,8,English 
1314,hurt,4,English 
1315,wants,5,English 
1316,express,7,English 
1317,occurred,8,English 
1318,favour,6,English 
1319,height,6,English 
1320,size,4,English 
1321,edge,4,English 
1322,subjects,8,English 
1323,task,4,English 
1324,follows,7,English 
1325,interests,9,English 
1326,nine,4,English 
1327,sympathy,8,English 
1328,burst,5,English 
1329,putting,7,English 
1330,dressed,7,English 
1331,lifted,6,English 
1332,hopes,5,English 
1333,suffer,6,English 
1334,noise,5,English 
1335,smiling,7,English 
1336,rode,4,English 
1337,tells,5,English 
1338,minds,5,English 
1339,farther,7,English 
1340,literature,10,English 
1341,vessel,6,English 
1342,affection,9,English 
1343,suffering,9,English 
1344,proceeded,9,English 
1345,flesh,5,English 
1346,advice,6,English 
1347,grand,5,English 
1348,carrying,8,English 
1349,legs,4,English 
1350,spain,5,English 
1351,post,4,English 
1352,collection,10,English 
1353,empty,5,English 
1354,rank,4,English 
1355,storm,5,English 
1356,imagine,7,English 
1357,wore,4,English 
1358,duties,6,English 
1359,admitted,8,English 
1360,countries,9,English 
1361,pocket,6,English 
1362,arrival,7,English 
1363,imagination,11,English 
1364,driven,6,English 
1365,loud,4,English 
1366,sentence,8,English 
1367,lovely,6,English 
